rok;im;em;wsp_mig;miasto;cena
2015;nan;nan;nan;Lublin;4716.88
2015;nan;nan;nan;Łódź;4017.38
2015;nan;nan;nan;Olsztyn;4387.19
2015;nan;nan;nan;Opole;4172.71
2015;nan;nan;nan;Poznań;5636.51
2015;nan;nan;nan;Rzeszów;4653.38
2015;nan;nan;nan;Szczecin;4275.14
2015;nan;nan;nan;Warszawa;7427.04
2015;nan;nan;nan;Wrocław;5626.25
2015;nan;nan;nan;Zielona_Góra;3381.62
2016;306;145;161;Białystok;4288.38
2016;237;168;69;Bydgoszcz;4279.25
2016;183;110;73;Gdańsk;5931.48
2016;153;579;-426;Katowice;4294.16
2016;263;91;172;Kielce;4097.08
2016;249;146;103;Kraków;6090.83
2016;301;74;227;Lublin;4809.25
2016;205;205;0;Łódź;4035.75
2016;168;300;-132;Olsztyn;4497.73
2016;232;785;-553;Opole;4187.27
2016;238;79;159;Poznań;5725.29
2016;282;78;204;Rzeszów;4760.38
2016;157;333;-176;Szczecin;4404.91
2016;1194;150;1044;Warszawa;7532.25
2016;518;93;425;Wrocław;5720.62
2016;234;259;-25;Zielona_Góra;3467.25
2017;326;347;-21;Białystok;4325.12
2017;268;161;107;Bydgoszcz;4498.12
2017;179;117;62;Gdańsk;6348.52
2017;186;476;-290;Katowice;4410.57
2017;235;84;151;Kielce;4102.02
2017;265;127;138;Kraków;6395.24
2017;268;75;193;Lublin;4913.62
2017;548;376;172;Łódź;4304.25
2017;168;353;-185;Olsztyn;4660.16
2017;274;744;-470;Opole;4432.88
2017;215;37;178;Poznań;5860.89
2017;263;93;170;Rzeszów;4791.75
2017;224;373;-149;Szczecin;4694.59
2017;1085;193;892;Warszawa;7767.37
2017;459;102;357;Wrocław;5972.12
2017;188;289;-101;Zielona_Góra;3580.38
2018;379;253;126;Białystok;4859.38
2018;272;163;109;Bydgoszcz;4891.62
2018;229;100;129;Gdańsk;7217.05
2018;256;437;-181;Katowice;4802.17
